program,num_threads,num_mesures,time
lock-test-and-set,2,1,0.08
lock-test-and-set,2,2,0.08
lock-test-and-set,4,1,0.08
lock-test-and-set,4,2,0.08
lock-test-and-set,8,1,0.08
lock-test-and-set,8,2,0.08
lock-test-and-set,16,1,0.08
lock-test-and-set,16,2,0.08
lock-test-and-set,32,1,0.10
lock-test-and-set,32,2,0.08
lock-test-and-set,64,1,0.24
lock-test-and-set,64,2,0.27
lock-tatas,2,1,0.08
lock-tatas,2,2,0.08
lock-tatas,4,1,0.08
lock-tatas,4,2,0.08
lock-tatas,8,1,0.08
lock-tatas,8,2,0.08
lock-tatas,16,1,0.08
lock-tatas,16,2,0.08
lock-tatas,32,1,0.08
lock-tatas,32,2,0.08
lock-tatas,64,1,0.08
lock-tatas,64,2,0.08
