program,num_threads,num_mesures,time
philosophes,2,1,0.00
philosophes,2,2,0.00
philosophes,4,1,0.00
philosophes,4,2,0.00
philosophes,8,1,0.00
philosophes,8,2,0.00
philosophes,16,1,0.00
philosophes,16,2,0.00
philosophes,32,1,0.01
philosophes,32,2,0.01
philosophes,64,1,0.02
philosophes,64,2,0.02
philosophes-my-functions,2,1,0.00
philosophes-my-functions,2,2,0.00
philosophes-my-functions,4,1,0.00
philosophes-my-functions,4,2,0.00
philosophes-my-functions,8,1,0.00
philosophes-my-functions,8,2,0.00
philosophes-my-functions,16,1,0.02
philosophes-my-functions,16,2,0.02
philosophes-my-functions,32,1,0.02
philosophes-my-functions,32,2,0.03
philosophes-my-functions,64,1,0.03
philosophes-my-functions,64,2,0.03
philosophes-tatas,2,1,0.00
philosophes-tatas,2,2,0.00
philosophes-tatas,4,1,0.00
philosophes-tatas,4,2,0.00
philosophes-tatas,8,1,0.00
philosophes-tatas,8,2,0.00
philosophes-tatas,16,1,0.02
philosophes-tatas,16,2,0.02
philosophes-tatas,32,1,0.02
philosophes-tatas,32,2,0.01
philosophes-tatas,64,1,0.02
philosophes-tatas,64,2,0.02
