program,num_threads,num_mesures,time
readerWriter,2,1,0.02
readerWriter,2,2,0.02
readerWriter,4,1,0.01
readerWriter,4,2,0.01
readerWriter,8,1,0.01
readerWriter,8,2,0.01
readerWriter,16,1,0.01
readerWriter,16,2,0.01
readerWriter,32,1,0.01
readerWriter,32,2,0.01
readerWriter,64,1,0.01
readerWriter,64,2,0.00
readerWriter-my-functions,2,1,9.39
readerWriter-my-functions,2,2,1.03
readerWriter-my-functions,4,1,15.95
readerWriter-my-functions,4,2,0.09
readerWriter-my-functions,8,1,0.19
readerWriter-my-functions,8,2,3.38
readerWriter-my-functions,16,1,0.03
readerWriter-my-functions,16,2,0.04
readerWriter-my-functions,32,1,0.31
readerWriter-my-functions,32,2,0.04
readerWriter-my-functions,64,1,0.08
readerWriter-my-functions,64,2,0.47
readerWriter-tatas,2,1,0.29
readerWriter-tatas,2,2,0.08
readerWriter-tatas,4,1,0.02
readerWriter-tatas,4,2,0.04
readerWriter-tatas,8,1,0.01
readerWriter-tatas,8,2,0.01
readerWriter-tatas,16,1,0.01
readerWriter-tatas,16,2,0.04
readerWriter-tatas,32,1,0.06
readerWriter-tatas,32,2,0.02
readerWriter-tatas,64,1,0.01
readerWriter-tatas,64,2,0.16
