program,num_threads,num_mesures,time
philosophes,2,1,1.56
philosophes,2,2,1.82
philosophes,4,1,3.21
philosophes,4,2,3.44
philosophes,8,1,4.43
philosophes,8,2,4.74
philosophes,16,1,5.71
philosophes,16,2,5.76
philosophes,32,1,9.45
philosophes,32,2,9.03
philosophes,64,1,17.06
philosophes,64,2,17.04
philosophes-my-functions,2,1,1.30
philosophes-my-functions,2,2,1.50
philosophes-my-functions,4,1,5.07
philosophes-my-functions,4,2,4.83
philosophes-my-functions,8,1,6.41
philosophes-my-functions,8,2,7.07
philosophes-my-functions,16,1,33.88
philosophes-my-functions,16,2,35.57
philosophes-my-functions,32,1,114.38
philosophes-my-functions,32,2,119.12
philosophes-my-functions,64,1,367.01
philosophes-my-functions,64,2,413.28
philo-tatas,2,1,1.22
philo-tatas,2,2,1.87
philo-tatas,4,1,4.78
philo-tatas,4,2,4.80
philo-tatas,8,1,10.43
philo-tatas,8,2,10.96
philo-tatas,16,1,27.87
philo-tatas,16,2,30.89
philo-tatas,32,1,81.13
philo-tatas,32,2,76.67
philo-tatas,64,1,204.68
philo-tatas,64,2,209.28
producerConsumer,2,1,0.08
producerConsumer,2,2,0.08
producerConsumer,4,1,0.04
producerConsumer,4,2,0.04
producerConsumer,8,1,0.04
producerConsumer,8,2,0.04
producerConsumer,16,1,0.04
producerConsumer,16,2,0.04
producerConsumer,32,1,0.05
producerConsumer,32,2,0.05
producerConsumer,64,1,0.05
producerConsumer,64,2,0.05
producerConsumer-my-functions,2,1,0.26
producerConsumer-my-functions,2,2,0.12
producerConsumer-my-functions,4,1,0.06
producerConsumer-my-functions,4,2,0.08
producerConsumer-my-functions,8,1,0.17
producerConsumer-my-functions,8,2,0.15
producerConsumer-my-functions,16,1,0.52
producerConsumer-my-functions,16,2,0.50
producerConsumer-my-functions,32,1,2.05
producerConsumer-my-functions,32,2,4.29
producerConsumer-my-functions,64,1,24.52
producerConsumer-my-functions,64,2,16.07
prodCons-tatas,2,1,0.20
prodCons-tatas,2,2,0.14
prodCons-tatas,4,1,0.06
prodCons-tatas,4,2,0.05
prodCons-tatas,8,1,0.20
prodCons-tatas,8,2,0.16
prodCons-tatas,16,1,0.44
prodCons-tatas,16,2,0.91
prodCons-tatas,32,1,5.72
prodCons-tatas,32,2,1.85
prodCons-tatas,64,1,32.58
prodCons-tatas,64,2,8.94
readerWriter,2,1,0.36
readerWriter,2,2,0.51
readerWriter,4,1,0.24
readerWriter,4,2,0.17
readerWriter,8,1,0.18
readerWriter,8,2,0.21
readerWriter,16,1,0.16
readerWriter,16,2,0.19
readerWriter,32,1,0.23
readerWriter,32,2,0.15
readerWriter,64,1,0.12
readerWriter,64,2,0.19
readerWriter-my-functions,2,1,4.43
readerWriter-my-functions,2,2,4.38
readerWriter-my-functions,4,1,3.61
readerWriter-my-functions,4,2,3.11
readerWriter-my-functions,8,1,7.51
readerWriter-my-functions,8,2,6.23
readerWriter-my-functions,16,1,25.04
readerWriter-my-functions,16,2,34.37
readerWriter-my-functions,32,1,64.55
readerWriter-my-functions,32,2,87.15
readerWriter-my-functions,64,1,254.13
readerWriter-my-functions,64,2,213.16
readerWriter-tatas,2,1,4.77
readerWriter-tatas,2,2,4.54
readerWriter-tatas,4,1,3.89
readerWriter-tatas,4,2,3.87
readerWriter-tatas,8,1,7.48
readerWriter-tatas,8,2,8.15
readerWriter-tatas,16,1,19.41
readerWriter-tatas,16,2,17.95
readerWriter-tatas,32,1,35.98
readerWriter-tatas,32,2,40.38
readerWriter-tatas,64,1,77.07
readerWriter-tatas,64,2,85.58
lock_test_and_set,2,1,0.14
lock_test_and_set,2,2,0.14
lock_test_and_set,4,1,0.13
lock_test_and_set,4,2,0.13
lock_test_and_set,8,1,0.13
lock_test_and_set,8,2,0.13
lock_test_and_set,16,1,0.25
lock_test_and_set,16,2,0.19
lock_test_and_set,32,1,0.28
lock_test_and_set,32,2,0.35
lock_test_and_set,64,1,0.59
lock_test_and_set,64,2,0.79
lock_tatas,2,1,0.13
lock_tatas,2,2,0.12
lock_tatas,4,1,0.13
lock_tatas,4,2,0.13
lock_tatas,8,1,0.13
lock_tatas,8,2,0.13
lock_tatas,16,1,0.17
lock_tatas,16,2,0.23
lock_tatas,32,1,0.30
lock_tatas,32,2,0.30
lock_tatas,64,1,0.44
lock_tatas,64,2,0.42
